HDays,ADays,HASLxM,HASTLxM,HACLxM,HAFLxM,HAYCLxM,HARCLxM,HAGSLxM,HAGCLxM,HAGSLxHM,HAGCLxHM,HGDLxM,HGDLxHM,HAPLxM,HAPLxHM,HWPLxM,HWPLxHM,HWinStreak,AASLxM,AASTLxM,AACLxM,AAFLxM,AAYCLxM,AARCLxM,AAGSLxM,AAGCLxM,AAGSLxAM,AAGCLxAM,AGDLxM,AGDLxAM,AAPLxM,AAPLxAM,AWPLxM,AWPLxAM,AWinStreak,HDef,HMid,HAtt,HOvr,ADef,AMid,AAtt,AOvr,B365H,B365D,B365A,Result
10,10,10.6,3.6,4.8,9.9,1.8,0.2,0.9,1.9,1.2,1.7,-10.0,-5.0,0.6,0.6,10.0,0.1,0.0,13.2,4.3,5.3,11.6,1.5,0.1,1.2,1.6,0.9,2.3,-4.0,-14.0,1.0,0.6,20.0,10.0,0.0,76,76,77,76.33,72,74,76,74.0,2.6,3.4,2.88,W
8,5,15.2,5.2,4.3,10.6,1.8,0.0,2.4,1.1,2.1,1.0,13.0,11.0,2.0,2.3,60.0,0.7,1.0,10.0,3.8,4.7,12.2,2.1,0.0,1.2,1.6,0.4,2.0,-4.0,-16.0,1.2,0.4,40.0,10.0,1.0,82,82,85,83.0,73,73,74,73.33,1.2,7.5,17.0,W
3,10,17.7,6.8,8.4,10.8,1.4,0.0,2.1,0.6,2.0,0.7,15.0,13.0,2.5,2.0,80.0,0.6,5.0,11.9,3.2,5.0,10.5,1.2,0.1,0.9,1.0,0.8,1.3,-1.0,-5.0,1.3,0.8,30.0,20.0,0.0,78,77,81,78.67,76,76,77,76.33,1.4,4.2,9.0,W
3,6,17.2,5.8,6.2,9.3,1.7,0.0,1.6,1.7,2.3,1.3,-1.0,10.0,1.4,2.2,40.0,0.7,0.0,13.5,3.4,7.2,10.3,1.4,0.0,0.9,1.2,0.6,1.5,-3.0,-9.0,1.1,1.0,30.0,30.0,2.0,78,79,76,77.67,72,74,70,72.0,1.44,5.0,7.5,W
3,8,12.5,4.0,5.8,9.7,1.4,0.1,1.8,1.0,1.1,1.7,8.0,-6.0,2.0,1.4,60.0,0.4,0.0,12.2,3.7,5.8,8.2,1.1,0.0,0.6,2.3,0.4,2.2,-17.0,-18.0,0.5,0.2,10.0,0.0,0.0,79,78,82,79.67,68,70,72,70.0,1.33,5.25,12.0,W
10,10,14.5,5.5,7.2,9.2,1.2,0.1,2.1,0.8,3.2,0.8,13.0,24.0,2.2,2.8,60.0,0.9,2.0,15.0,4.6,5.8,9.5,1.6,0.0,1.4,1.1,2.1,1.5,3.0,6.0,1.6,1.8,50.0,60.0,0.0,82,82,85,83.0,83,82,88,84.33,1.61,4.2,6.0,W
3,7,17.9,6.3,8.0,8.7,0.6,0.0,2.1,0.7,3.0,1.0,14.0,20.0,2.1,2.5,60.0,0.8,1.0,9.6,2.7,3.6,9.6,1.7,0.0,0.7,2.1,0.7,1.5,-14.0,-8.0,0.7,0.9,20.0,20.0,0.0,86,87,84,85.67,73,75,75,74.33,1.1,10.0,26.0,W
6,3,13.8,5.4,5.4,8.8,1.4,0.1,1.7,1.2,1.8,1.4,5.0,4.0,1.8,2.0,50.0,0.6,0.0,14.8,4.7,5.0,9.7,2.0,0.0,1.0,1.4,1.2,1.2,-4.0,0.0,1.0,1.5,20.0,40.0,1.0,77,78,78,77.67,80,83,83,82.0,3.1,3.6,2.2,W
7,7,13.1,4.8,4.4,9.4,1.4,0.1,1.3,1.3,1.6,0.9,0.0,7.0,2.0,2.0,60.0,0.6,0.0,11.5,3.7,4.3,9.8,2.7,0.1,1.3,2.1,1.4,1.5,-8.0,-1.0,0.6,1.3,0.0,30.0,0.0,77,79,83,79.67,74,74,79,75.67,1.44,4.75,7.0,W
7,5,10.7,5.8,3.5,10.9,1.9,0.0,1.0,1.0,1.6,1.3,0.0,3.0,1.3,1.5,30.0,0.4,0.0,10.4,5.4,5.9,9.7,1.2,0.0,0.8,1.8,1.1,2.2,-10.0,-11.0,0.5,0.6,10.0,20.0,0.0,71,73,75,73.0,70,70,73,71.0,1.67,4.0,5.75,W
4,10,10.5,3.5,5.0,12.3,0.8,0.1,1.5,1.7,1.3,1.0,-2.0,3.0,1.6,1.9,50.0,0.6,2.0,12.4,4.5,4.3,11.9,1.1,0.1,0.9,1.8,0.7,2.7,-9.0,-20.0,0.8,0.6,20.0,20.0,0.0,76,77,74,75.67,75,77,77,76.33,2.0,3.5,4.2,W
4,5,15.6,4.8,6.6,10.5,1.2,0.0,1.6,1.1,2.1,1.0,5.0,11.0,1.4,1.9,40.0,0.6,0.0,11.4,3.7,4.4,11.6,1.2,0.0,1.3,1.9,1.2,2.0,-6.0,-8.0,1.4,1.1,40.0,30.0,0.0,81,82,80,81.0,76,78,75,76.33,1.3,6.0,11.0,W
7,7,12.4,3.5,4.8,11.8,1.1,0.0,0.6,2.0,1.3,1.1,-14.0,2.0,0.8,1.3,20.0,0.3,0.0,12.5,2.7,4.9,11.0,1.4,0.1,0.8,0.8,0.5,0.8,0.0,-3.0,1.0,0.8,20.0,10.0,0.0,73,73,72,72.67,72,74,75,73.67,2.63,3.3,2.9,W
8,4,10.5,4.0,2.8,10.1,1.8,0.0,1.0,1.5,1.2,1.0,-5.0,2.0,1.5,2.0,50.0,0.6,0.0,14.2,4.9,4.6,10.8,2.0,0.1,1.3,1.6,2.0,1.3,-3.0,7.0,1.5,2.1,50.0,70.0,0.0,77,77,78,77.33,77,80,77,78.0,4.33,3.6,1.83,W
6,5,13.0,4.9,5.5,15.9,1.9,0.0,1.4,1.0,1.1,1.4,4.0,-3.0,1.8,1.2,60.0,0.4,1.0,10.4,3.7,4.8,10.1,2.2,0.0,1.1,1.4,0.8,1.0,-3.0,-2.0,1.2,1.5,30.0,40.0,0.0,75,75,71,73.67,71,74,77,74.0,1.83,3.6,5.0,W
10,3,14.2,4.0,6.9,11.2,2.2,0.2,0.4,1.0,0.8,0.8,-6.0,0.0,0.7,1.3,10.0,0.3,0.0,12.9,4.1,6.0,10.0,1.2,0.1,2.1,1.1,1.9,1.3,10.0,6.0,2.3,2.3,70.0,70.0,2.0,73,73,72,72.67,79,78,82,79.67,3.8,3.5,2.1,W
4,6,17.0,5.6,5.4,10.1,1.5,0.1,1.6,0.9,1.3,1.0,7.0,3.0,2.1,1.4,60.0,0.3,2.0,12.3,4.4,5.5,10.7,1.5,0.0,1.5,0.9,1.6,1.5,6.0,1.0,1.8,1.3,50.0,30.0,1.0,78,79,76,77.67,72,74,76,74.0,1.67,4.0,5.75,W
5,4,19.5,7.0,5.7,10.5,1.8,0.0,2.4,1.0,2.7,0.4,14.0,23.0,2.3,2.5,70.0,0.8,1.0,15.2,5.6,6.9,9.4,2.2,0.0,2.0,0.7,1.3,1.8,13.0,-5.0,2.2,1.4,60.0,40.0,0.0,81,82,81,81.33,80,81,79,80.0,1.67,4.2,5.25,W
6,6,12.1,4.2,5.9,10.3,1.5,0.0,0.7,1.1,0.7,1.2,-4.0,-5.0,1.3,1.4,40.0,0.4,0.0,13.6,4.8,4.9,11.8,2.0,0.0,1.1,1.5,1.3,1.9,-4.0,-6.0,0.8,0.7,10.0,10.0,0.0,67,68,70,68.33,71,74,74,73.0,2.6,3.3,3.0,W
3,3,16.7,5.1,7.1,11.5,1.7,0.1,1.1,1.9,0.9,1.3,-8.0,-4.0,1.5,1.5,40.0,0.4,0.0,10.6,3.1,3.6,13.2,2.5,0.2,1.4,1.9,0.9,2.1,-5.0,-12.0,1.3,0.6,30.0,10.0,0.0,79,78,82,79.67,75,74,74,74.33,1.44,4.33,8.0,W
3,5,13.2,4.8,5.1,11.7,2.1,0.1,1.4,1.6,1.5,0.9,-2.0,6.0,0.9,1.7,20.0,0.5,0.0,12.9,4.5,5.2,11.6,2.1,0.0,0.7,1.9,0.7,2.3,-12.0,-16.0,0.5,0.4,10.0,10.0,0.0,76,75,77,76.0,71,72,73,72.0,2.05,3.5,4.0,W
3,4,10.9,3.9,3.6,11.3,1.5,0.1,1.1,1.4,1.7,1.5,-3.0,2.0,1.1,1.3,30.0,0.3,0.0,11.1,3.4,5.9,10.0,1.2,0.2,1.0,1.3,0.8,1.3,-3.0,-5.0,1.1,1.2,20.0,30.0,0.0,75,76,76,75.67,73,75,76,74.67,2.15,3.4,3.8,W
3,3,10.7,3.4,4.2,9.1,1.1,0.0,1.2,2.5,1.2,1.9,-13.0,-7.0,0.8,1.2,20.0,0.3,0.0,8.7,1.7,4.0,10.8,1.4,0.0,0.5,1.1,0.6,0.8,-6.0,-2.0,0.5,0.9,10.0,20.0,0.0,77,76,78,77.0,75,76,75,75.33,1.95,3.39,4.5,W
6,8,12.4,4.2,4.5,10.5,0.7,0.0,0.8,1.4,1.0,1.5,-6.0,-5.0,1.2,1.1,30.0,0.3,0.0,13.9,4.2,6.4,11.1,0.6,0.1,1.0,0.9,0.8,0.9,1.0,-1.0,1.1,1.2,30.0,30.0,1.0,79,80,79,79.33,76,75,75,75.33,3.3,3.3,2.2,W
5,10,10.7,2.9,4.9,11.2,1.9,0.0,1.0,1.2,1.2,1.2,-2.0,0.0,1.4,1.4,40.0,0.4,1.0,16.8,4.6,5.3,12.9,2.3,0.1,1.2,1.6,0.5,2.4,-4.0,-19.0,1.1,0.0,30.0,0.0,0.0,73,73,76,74.0,72,73,72,72.33,1.65,4.0,6.0,W
6,6,14.1,5.4,6.1,9.1,1.7,0.1,1.8,0.7,1.7,0.4,11.0,13.0,2.4,2.4,70.0,0.7,3.0,14.7,5.7,6.0,12.4,1.6,0.1,2.3,0.9,1.3,0.8,14.0,5.0,2.5,1.9,80.0,50.0,6.0,81,82,81,81.33,80,79,85,81.33,2.0,3.4,4.33,W
3,3,10.3,3.7,3.5,10.5,2.2,0.1,1.5,1.6,1.3,1.5,-1.0,-2.0,1.6,1.5,50.0,0.5,1.0,12.1,5.0,5.3,8.9,1.4,0.0,1.6,1.2,1.3,1.2,4.0,1.0,1.9,1.4,60.0,40.0,0.0,76,78,76,76.67,77,78,79,78.0,2.1,3.5,3.75,W
4,3,8.9,3.0,4.3,13.8,1.6,0.0,1.0,1.7,1.6,0.9,-7.0,7.0,0.8,1.8,20.0,0.5,1.0,12.2,4.3,5.6,10.6,1.9,0.1,1.1,1.4,1.1,1.9,-3.0,-8.0,1.3,1.1,30.0,30.0,0.0,75,78,76,76.33,77,78,75,76.67,1.8,3.6,4.5,W
5,10,11.0,3.7,4.2,13.2,1.7,0.1,1.2,0.6,1.2,0.5,6.0,7.0,1.6,1.8,40.0,0.4,1.0,12.4,4.1,3.9,8.5,1.9,0.1,0.9,1.5,1.4,1.5,-6.0,-1.0,1.2,1.2,30.0,30.0,1.0,82,84,84,83.33,77,77,79,77.67,1.3,5.75,12.0,W
6,7,18.6,7.4,6.9,8.6,1.5,0.0,2.5,0.9,3.8,0.7,16.0,31.0,2.5,3.0,80.0,1.0,0.0,11.2,3.4,4.3,11.0,1.0,0.1,1.0,1.4,1.1,1.6,-4.0,-5.0,0.9,1.1,20.0,30.0,0.0,82,86,85,84.33,75,75,74,74.67,1.12,10.0,26.0,W
3,8,10.0,3.3,4.3,10.4,1.5,0.0,1.1,2.1,1.3,1.4,-10.0,-1.0,0.9,1.3,20.0,0.3,0.0,9.6,3.3,4.6,10.8,0.8,0.1,1.1,0.9,0.9,1.6,2.0,-7.0,1.5,1.1,40.0,30.0,0.0,74,76,79,76.33,79,80,77,78.67,2.45,3.5,3.0,W
7,7,12.0,3.6,4.0,8.6,2.1,0.1,0.9,1.8,1.1,1.8,-9.0,-7.0,1.1,1.1,30.0,0.3,0.0,7.7,2.4,3.9,9.2,1.2,0.0,0.9,0.9,0.7,1.0,0.0,-3.0,1.5,0.9,40.0,20.0,0.0,78,78,80,78.67,75,76,77,76.0,1.8,3.5,4.5,W
7,7,13.0,4.4,5.6,10.1,2.0,0.0,2.0,1.7,2.4,0.8,3.0,16.0,1.7,2.6,50.0,0.8,0.0,13.0,4.7,4.7,8.5,1.6,0.0,1.3,0.9,1.9,0.8,4.0,11.0,1.9,2.2,60.0,70.0,1.0,81,82,83,82.0,82,85,84,83.67,3.1,3.6,2.37,W
7,6,15.0,4.6,6.6,10.8,1.7,0.3,1.7,1.2,2.2,0.8,5.0,14.0,1.8,2.2,50.0,0.7,2.0,9.5,3.0,3.3,11.7,2.2,0.1,1.2,1.6,1.0,1.6,-4.0,-6.0,0.7,0.7,10.0,10.0,0.0,80,79,85,81.33,71,71,72,71.33,1.33,5.75,10.0,W
7,7,17.9,6.0,8.6,10.5,2.3,0.1,2.3,0.5,3.5,0.7,18.0,28.0,2.3,2.7,70.0,0.9,0.0,16.3,5.3,5.4,9.6,1.7,0.0,2.0,1.5,1.6,1.4,5.0,2.0,1.7,1.4,50.0,40.0,1.0,80,83,85,82.67,71,73,78,74.0,1.33,5.75,10.0,W
3,7,20.1,6.2,7.5,11.0,1.3,0.2,1.9,0.4,2.5,0.4,15.0,21.0,2.0,2.8,60.0,0.9,0.0,10.2,4.5,4.0,12.8,2.0,0.2,1.5,0.9,0.8,1.9,6.0,-11.0,1.8,0.6,50.0,10.0,3.0,81,80,82,81.0,75,74,74,74.33,1.29,6.0,13.0,W
3,4,17.1,6.7,7.2,11.2,1.3,0.0,2.5,1.5,2.1,0.6,10.0,15.0,1.7,2.3,50.0,0.7,1.0,14.0,4.0,5.4,10.9,1.4,0.1,1.0,1.4,0.6,1.0,-4.0,-4.0,0.8,0.7,20.0,10.0,0.0,79,80,76,78.33,72,74,75,73.67,1.29,6.0,12.0,W
3,4,14.4,5.5,7.4,8.6,0.8,0.0,1.7,0.7,2.6,0.7,10.0,19.0,2.5,3.0,80.0,1.0,0.0,9.9,3.1,4.9,11.4,1.8,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.5,1.3,40.0,30.0,4.0,85,83,87,85.0,76,77,73,75.33,1.22,6.5,13.0,W
3,4,15.9,4.7,6.4,9.6,1.3,0.0,1.4,1.8,1.7,0.4,-4.0,13.0,1.6,2.1,50.0,0.6,1.0,12.5,3.6,4.9,10.6,1.5,0.0,1.0,1.6,1.2,2.0,-6.0,-8.0,0.8,0.7,20.0,20.0,0.0,82,83,85,83.33,76,76,76,76.0,1.25,6.5,15.0,W
3,3,17.2,7.7,5.9,9.0,1.5,0.0,3.0,0.9,3.3,0.8,21.0,25.0,3.0,2.8,100.0,0.9,15.0,16.6,5.4,7.0,9.2,0.8,0.1,1.6,0.9,2.7,1.0,7.0,17.0,1.7,1.9,50.0,60.0,2.0,82,85,84,83.67,81,82,86,83.0,1.55,4.59,6.0,W
3,3,10.4,3.5,5.0,8.9,1.7,0.0,0.9,0.7,0.9,0.7,2.0,2.0,1.9,1.5,60.0,0.4,1.0,9.5,3.4,4.0,9.6,1.0,0.0,1.4,2.5,1.2,2.2,-11.0,-10.0,1.1,0.9,30.0,20.0,0.0,76,75,74,75.0,77,76,78,77.0,2.29,3.2,3.6,W
5,7,13.7,5.2,7.4,8.7,1.2,0.1,2.3,1.3,3.1,0.9,10.0,22.0,2.1,2.7,70.0,0.9,2.0,11.2,3.8,3.4,11.6,2.2,0.0,1.2,1.3,1.1,1.0,-1.0,1.0,1.4,1.5,40.0,40.0,0.0,83,88,86,85.67,76,78,76,76.67,1.18,8.0,17.0,W
3,8,13.9,4.3,5.7,11.9,2.5,0.1,0.9,1.0,1.7,1.3,-1.0,4.0,1.3,1.8,30.0,0.5,1.0,11.7,4.6,5.2,15.4,1.5,0.0,1.3,1.2,2.1,1.0,1.0,11.0,1.5,2.4,50.0,80.0,0.0,77,77,78,77.33,73,73,73,73.0,2.0,3.6,4.0,W
4,6,13.1,4.0,5.8,8.3,1.2,0.1,1.2,1.3,1.4,1.2,-1.0,2.0,1.7,1.7,50.0,0.5,0.0,12.2,3.6,5.2,11.3,2.1,0.0,1.6,1.4,1.2,1.7,2.0,-5.0,1.6,1.0,50.0,30.0,0.0,77,79,83,79.67,77,76,79,77.33,1.83,3.75,4.2,W
7,7,12.1,4.8,6.0,12.7,2.0,0.1,1.5,0.9,2.1,0.7,6.0,14.0,1.6,2.5,40.0,0.8,0.0,10.1,2.9,5.7,10.9,2.8,0.1,0.8,1.2,0.8,1.5,-4.0,-7.0,0.9,1.1,20.0,20.0,0.0,80,79,85,81.33,73,73,74,73.33,1.36,5.25,10.0,W
8,3,11.0,4.8,4.5,9.4,1.8,0.0,1.6,1.0,1.5,0.7,6.0,8.0,2.1,2.0,70.0,0.6,1.0,13.8,6.0,5.7,10.0,1.8,0.1,2.1,1.5,1.0,1.4,6.0,-4.0,1.5,0.9,50.0,20.0,1.0,81,84,86,83.67,81,82,85,82.67,1.44,4.75,8.0,W
7,7,11.0,2.6,6.1,9.6,2.1,0.0,1.2,1.1,1.7,1.0,1.0,7.0,1.5,2.0,40.0,0.6,2.0,10.6,3.8,4.3,10.4,1.7,0.0,0.9,1.8,0.7,2.4,-9.0,-17.0,0.9,0.4,30.0,10.0,3.0,76,80,75,77.0,72,76,78,75.33,1.53,4.2,7.5,W
5,4,10.8,3.6,5.0,9.8,1.4,0.0,1.1,0.9,1.0,0.8,2.0,2.0,1.6,1.7,50.0,0.5,0.0,10.4,3.4,4.6,9.7,1.2,0.1,0.5,1.5,1.0,1.2,-10.0,-2.0,0.6,0.9,10.0,20.0,0.0,78,82,78,79.33,74,75,75,74.67,1.75,3.6,4.5,W
10,10,11.1,3.1,4.5,9.6,1.1,0.1,0.5,2.2,1.1,2.7,-17.0,-16.0,0.2,0.5,0.0,0.1,0.0,13.6,4.3,4.2,10.5,1.8,0.0,1.2,2.7,0.9,2.8,-15.0,-19.0,0.6,0.5,10.0,10.0,0.0,73,74,71,72.67,73,77,76,75.33,2.5,3.5,2.95,W
7,7,10.0,2.7,5.1,10.9,2.0,0.0,0.7,1.9,0.9,1.9,-12.0,-10.0,1.0,1.3,30.0,0.4,0.0,10.0,3.2,3.8,9.0,1.3,0.0,1.0,1.3,1.0,1.2,-3.0,-2.0,1.2,1.2,30.0,30.0,1.0,74,74,73,73.67,77,78,80,78.33,3.6,3.5,2.15,W
5,7,10.6,3.9,4.5,9.9,2.1,0.1,1.4,1.3,1.1,1.0,1.0,1.0,1.3,1.3,40.0,0.4,0.0,10.7,3.7,3.5,10.8,1.7,0.0,1.1,1.7,0.5,2.1,-6.0,-16.0,1.1,0.7,30.0,20.0,1.0,74,75,75,74.67,75,76,77,76.0,2.05,3.5,4.0,W
7,7,12.6,4.6,3.6,11.2,1.3,0.2,1.1,1.2,1.5,1.4,-1.0,1.0,1.0,1.1,30.0,0.3,0.0,14.5,4.6,5.5,9.9,0.8,0.1,1.8,1.5,1.0,2.0,3.0,-10.0,1.2,0.4,30.0,0.0,1.0,68,69,68,68.33,73,73,74,73.33,2.75,3.3,2.8,W
7,4,7.0,2.1,3.8,11.9,1.7,0.1,0.3,2.1,0.8,1.7,-18.0,-9.0,0.3,0.9,10.0,0.3,0.0,14.1,4.4,6.6,11.3,0.7,0.1,0.9,0.9,0.8,0.8,0.0,0.0,1.0,1.3,20.0,30.0,0.0,72,74,72,72.67,76,75,75,75.33,5.25,3.4,1.75,W
7,4,11.3,3.9,4.7,13.2,1.4,0.1,1.6,0.5,1.4,0.4,11.0,10.0,1.8,1.8,50.0,0.4,3.0,9.8,3.6,5.4,11.9,2.2,0.0,1.6,2.0,1.2,2.1,-4.0,-9.0,1.1,0.7,30.0,20.0,1.0,82,84,84,83.33,76,78,79,77.67,1.33,5.5,11.0,W
7,5,10.9,3.0,3.6,10.9,1.7,0.0,1.3,1.4,1.3,1.5,-1.0,-2.0,1.2,1.3,20.0,0.3,1.0,12.1,3.8,4.5,11.3,2.0,0.0,1.1,1.0,0.9,0.8,1.0,1.0,1.6,1.5,50.0,40.0,1.0,74,76,77,75.67,77,81,78,78.67,2.45,3.2,3.0,W
3,4,13.7,5.4,6.0,6.9,1.2,0.0,2.5,0.9,1.7,1.0,16.0,7.0,2.4,1.8,80.0,0.6,2.0,9.6,3.1,3.5,11.8,1.5,0.1,1.0,1.3,0.9,1.4,-3.0,-5.0,1.2,1.0,30.0,20.0,2.0,83,82,87,84.0,76,75,76,75.67,1.44,4.5,9.0,W
7,5,11.8,3.2,5.4,12.3,1.7,0.0,0.5,1.3,1.3,1.2,-8.0,1.0,0.6,1.1,10.0,0.3,0.0,7.5,2.3,2.5,10.0,2.3,0.0,1.0,2.0,0.9,2.2,-10.0,-13.0,0.8,0.9,20.0,20.0,0.0,76,77,78,77.0,77,77,76,76.67,1.61,3.9,6.5,W
10,10,18.9,5.8,6.6,11.2,1.8,0.1,1.8,1.4,2.2,1.1,4.0,11.0,1.6,1.7,40.0,0.4,0.0,15.5,5.0,5.0,11.8,1.0,0.2,1.7,0.8,1.3,0.8,9.0,5.0,1.9,1.8,50.0,50.0,1.0,79,79,81,79.67,75,77,76,76.0,1.7,4.0,5.5,W
5,4,16.0,5.4,5.4,10.2,1.5,0.2,2.2,1.5,2.3,1.0,7.0,13.0,1.8,2.1,60.0,0.7,0.0,13.3,4.1,5.0,9.5,1.0,0.0,0.8,0.8,1.2,0.7,0.0,5.0,1.3,2.1,30.0,60.0,1.0,83,86,84,84.33,79,79,81,79.67,1.44,5.0,6.5,W
10,10,16.6,6.3,5.1,9.0,1.5,0.0,2.1,1.4,1.9,0.8,7.0,11.0,1.8,1.9,50.0,0.5,2.0,10.1,3.3,3.9,8.8,1.5,0.1,1.1,1.6,1.1,1.8,-5.0,-7.0,1.1,1.1,30.0,30.0,1.0,79,82,79,80.0,76,76,78,76.67,1.3,5.5,10.0,W
5,7,12.5,4.3,5.4,8.0,1.5,0.1,1.5,1.2,1.0,1.0,3.0,0.0,1.6,1.4,50.0,0.4,0.0,12.9,4.3,8.1,8.5,1.3,0.0,0.9,2.1,1.3,2.2,-12.0,-9.0,0.8,1.0,20.0,20.0,0.0,74,75,74,74.33,76,76,75,75.67,2.15,3.5,3.3,W
10,10,20.6,7.4,8.3,7.6,0.9,0.0,2.5,0.4,2.9,0.7,21.0,22.0,2.6,2.5,80.0,0.8,0.0,9.1,3.1,3.6,10.2,1.7,0.0,1.1,1.9,1.2,1.5,-8.0,-3.0,0.8,1.4,20.0,40.0,0.0,83,87,85,85.0,78,77,77,77.33,1.08,13.0,34.0,W
7,7,8.7,3.1,3.4,9.9,1.6,0.1,0.9,2.0,0.9,1.4,-11.0,-5.0,0.7,1.0,20.0,0.3,1.0,9.3,2.5,4.0,11.3,1.5,0.0,0.7,1.2,0.9,1.3,-5.0,-4.0,1.0,0.8,20.0,10.0,0.0,74,75,75,74.67,77,75,77,76.33,2.15,3.2,3.6,W
7,6,12.0,3.4,5.4,11.3,1.5,0.1,1.3,1.4,0.8,1.4,-1.0,-6.0,1.4,1.2,40.0,0.3,0.0,9.6,2.7,4.0,11.1,1.6,0.1,0.6,2.0,0.5,2.2,-14.0,-17.0,0.8,0.3,20.0,0.0,0.0,76,76,77,76.33,75,75,74,74.67,1.67,3.8,6.0,W
5,3,15.0,4.4,8.0,12.1,2.3,0.0,1.2,1.2,1.2,0.9,0.0,3.0,1.2,1.6,30.0,0.5,0.0,12.2,4.8,5.2,9.4,2.4,0.1,1.3,1.1,1.3,1.6,2.0,-3.0,1.7,1.2,50.0,30.0,3.0,81,85,79,81.67,81,82,85,82.67,1.72,4.0,4.5,W
